pl_rade,pl_bmasse,pl_eqt,pl_orbper,st_teff,st_rad
2.28,638.8383,795.0,934.3,4938.0,5.2
2.28,702.4043,795.0,874.774,5614.0,5.2
2.28,762.8,795.0,899.0,4978.0,5.2
2.28,5.11704,795.0,4.21487,5585.57,1.03
2.28,5.1,795.0,4.215,5577.0,0.96
2.28,18.2,795.0,38.021,5577.0,0.96
2.28,16.1139,795.0,38.0957,5585.57,1.03
2.28,22.9,795.0,123.01,5577.0,0.96
2.28,826.3,795.0,763.0,4792.0,2.3
2.28,587.9855,795.0,735.1,4826.0,4.87
2.28,781.8618,795.0,796.0,4794.52,4.91
2.28,276.5121,795.0,996.0,4826.0,4.87
2.28,2380.45,795.0,116.6884,5545.0,0.95
2.28,2084.88,795.0,116.689,5614.0,0.95
2.28,2351.942,795.0,116.6926,5439.0,1.94
2.28,2297.89938,795.0,116.69335,5481.86,1.92
2.28,2421.8646,795.0,116.6884,5531.0,1.84
2.28,2357.02728,795.0,116.688,5495.0,1.89
2.28,953.49,795.0,691.9,4846.0,10.5
2.28,416.3573,795.0,93.4,4847.0,10.3
2.28,476.745,795.0,93.4,4847.4,9.9
2.28,1274.4,795.0,10.50682565,5614.0,0.95
2.28,1684.4,795.0,952.7,4785.0,11.0
2.28,1017.0,795.0,181.4,4665.0,11.0
2.28,2860.45566,795.0,10.50682565,9770.0,0.95
2.28,4290.5,795.0,10.50682565,5614.0,0.95
2.28,1664.46737,1400.0,7520.0,6100.0,1.25
2.28,1017.0509,795.0,8030.0,6130.0,1.25
2.28,1366.66215,795.0,9060.0,6140.0,0.95
2.28,20.12,795.0,8.4629991,5614.0,0.95
2.28,17.1,795.0,8.46321,3700.0,0.75
4.203,57.2094,795.0,8.46321,3700.0,0.75
2.28,11.7,795.0,8.463,3700.0,0.75
4.07,17.0,593.0,8.463,3700.0,0.75
2.28,232.01474,795.0,8.46321,5614.0,0.95
4.027,232.01474,755.0,10.50682565,3588.0,0.7
4.19,232.01474,795.0,8.4630004,5614.0,0.75
2.28,22.2,795.0,18.859019,3700.0,0.75
2.79,232.01474,795.0,18.858982,5614.0,0.75
2.28,9.6,795.0,18.858991,5614.0,0.95
3.24,13.6,454.0,18.859019,3700.0,0.75
2.28,2034.112,795.0,481.9,4095.0,32.35
2.28,330.5432,795.0,268.94,4864.0,0.86
2.28,467.19,795.0,268.94,5008.0,0.95
2.28,337.21763,795.0,153.22,4649.0,8.95
2.28,352.78,795.0,137.48,4796.0,14.7
2.28,6807.63,795.0,379.63,4137.0,49.0
2.28,17668.1697,795.0,379.63,4259.0,71.02
2.28,3963.17,795.0,621.99,4137.0,49.0
2.28,1334.886,795.0,578.2,4296.0,17.3
2.578,22.2481,795.0,41.6855,5766.0,1.08
2.23,16.3,546.0,41.6855,5766.0,0.93
2.355,232.01474,795.0,41.688644,5703.0,0.96
2.28,432.24663,795.0,307.88,5004.0,0.95
2.28,289.2253,795.0,392.6,4414.0,11.0
2.28,540.311,795.0,733.0,4534.0,10.33
2.28,508.5,795.0,2590.0,4943.0,7.6
2.28,228.83645,795.0,265.59,5012.0,0.95
14.684,4767.4261,1303.0,10.50682565,4993.0,0.8
2.28,3305.41543,795.0,1230.0,5000.0,0.95
2.28,1258.60049,795.0,1198.48,5000.0,0.95
2.28,7961.6016,795.0,723.2,5040.0,0.95
2.28,8.5,795.0,3.8728,4324.0,0.95
2.28,53.0,795.0,125.94,4324.0,0.95
2.28,12.7132,795.0,5.6,4816.0,0.71
2.28,14.4,795.0,5.6,4746.0,0.95
2.28,104.0,795.0,237.6,4746.0,0.95
2.28,187.5197,795.0,3.48777,5393.0,0.91
2.28,152.55,795.0,3.487,5400.0,0.95
2.28,145.56,795.0,3.48777,5393.0,0.95
2.28,142.70495,795.0,3.487905,5382.64,0.97
2.28,168.44,795.0,1667.0,4475.0,0.52
2.28,206.5895,795.0,1634.0,4550.0,0.64
2.28,15.37,795.0,74.2,4550.0,0.64
2.28,3108.3774,795.0,714.29999,4545.0,19.17
2.28,3368.998,795.0,714.3,5614.0,0.95
2.28,905.8155,795.0,655.59998,4665.0,0.74
2.28,1620.9,795.0,655.6,4714.0,0.69
2.28,214.0,795.0,1891.0,4051.0,0.75
2.28,759.0,795.0,6360.0,4051.0,0.75
2.28,3.95,464.0,2.2907,3130.0,0.17
2.28,3337.1,370.0,10037.5,580.5,0.95
20.849,2479.06157,1800.0,8040000.0,2320.0,0.24
2.28,3994.486,795.0,10.50682565,5614.0,0.95
2.28,3686.828,795.0,8.9891,5614.0,0.95
12.442,2002.31896,434.0,402000000.0,3406.0,0.39
24.66,5403.0,2600.0,10.50682565,5614.0,0.95
15.917,340.0781,1834.0,1.50897655,5950.0,0.95
16.7,327.35,1898.0,1.5089557,5950.0,1.11
16.589,359.1479,795.0,1.5089557,5950.0,1.14
2.28,232.01474,795.0,1.50896877,5614.0,0.95
20.594,232.01474,2036.0,1.5089635,5950.0,1.29
19.223,390.9309,795.0,1.5089682,6298.0,1.23
17.385,327.3649,1915.0,1.5089686,5950.0,1.13
10.873,867.6759,795.0,13.2406,5075.0,0.79
10.87,874.0,600.0,13.2406,5075.0,0.79
10.548,883.5674,647.0,13.2406,5075.0,0.74
15.984,743.7222,1735.0,2.99433,6440.0,1.37
16.03,740.51,1657.0,2.99433,6440.0,1.37
2.28,232.01474,795.0,10.50682565,6343.0,1.36
16.029,832.7146,795.0,2.994325,6440.0,1.37
15.581,791.3967,1715.0,2.994325,5614.0,1.33
2.28,232.01474,795.0,2.828041,5675.0,1.12
16.141,290.81445,795.0,2.828042,5675.0,1.12
16.14,291.438,1442.0,2.828042,5675.0,1.12
15.132,281.91521,1410.0,2.828042,5675.0,1.05
15.065,277.46559,1417.0,2.82805268,5614.0,1.05
17.76,232.01474,1293.0,2.82803915,5675.0,1.04
2.28,232.01474,795.0,4.03515,5945.0,1.01
9.92,415.704,1700.0,4.03519,5945.0,1.01
12.533,232.01474,1233.0,4.03504444,5945.0,1.14
14.034,416.99296,1432.0,4.03519,5945.0,1.27
9.92,423.03173,795.0,4.03519,5945.0,1.01
12.22,2415.4,1952.0,1.51214,6035.0,1.21
12.218,2358.2986,795.0,1.51214,6040.0,1.21
11.411,2437.7561,1936.0,1.51214,6035.0,1.19
13.115,168.13207,795.0,5.35227,5650.0,1.19
13.11,170.032,795.0,5.35227,5650.0,1.19
11.43,772.29,1626.0,3.7681,5740.0,1.59
11.433,765.9703,795.0,3.7681,5740.0,1.59
11.287,781.8618,1610.0,3.7681,5740.0,1.62
14.684,1099.6918,795.0,1.9000693,5440.0,1.0
2.28,232.01474,795.0,1.9000769,5440.0,1.0
14.022,1039.3041,1490.0,1.9000693,5440.0,0.92
15.05,232.01474,1366.0,1.90008625,5440.0,0.93
14.68,1102.82,1550.0,1.9000693,5440.0,1.0
12.846,1048.839,1487.0,1.90009,5614.0,0.88
13.493,232.01474,1470.0,3.89712026,6090.0,1.64
2.28,232.01474,795.0,3.897131,6090.0,1.65
13.339,346.4347,1630.0,3.89713,6090.0,1.58
14.46,352.78,2000.0,3.89713,6090.0,1.65
14.46,367.09365,795.0,3.89713,6090.0,1.65
15.85,1052.0173,1535.0,1.7429975,5625.0,0.9
2.28,232.01474,795.0,1.74299673,5529.0,0.94
16.923,232.01474,1410.0,1.74301433,5529.0,0.94
16.432,1102.82,795.0,1.7429935,5625.0,0.91
16.477,1150.5446,1548.0,1.7429935,5696.0,0.91
16.432,1048.839,795.0,1.74299673,5625.0,0.9
2.28,232.01474,795.0,1.74299906,5614.0,0.95
16.533,232.01474,795.0,1.74299609,5575.0,0.95
16.365,1134.6531,1521.0,1.7429935,5598.0,0.9
16.421,1051.973,795.0,1.7429964,5614.0,0.95
2.28,232.01474,795.0,1.742997,5696.0,0.95
15.397,232.01474,935.0,9.24323029,5880.0,1.3
9.416,1344.4209,795.0,9.24285,5880.0,1.02
11.209,1315.8162,1024.0,9.24318,5614.0,1.16
9.42,1347.54,1002.0,9.24285,5880.0,1.02
2.28,1366.669,795.0,9.24285,5614.0,0.95
13.002,1608.2198,1100.0,9.24285,5880.0,1.34
2.28,5403.11,795.0,1675.0,5614.0,0.95
14.572,705.5826,795.0,2.72474,6200.0,1.95
14.572,718.2958,795.0,2.72474,6200.0,1.95
4.88,12.2,885.0,9.75598,5939.0,1.14
13.227,972.5598,1710.0,3.6313,5900.0,1.74
11.769,982.0947,795.0,3.6313,5900.0,1.61
11.77,889.9,1660.0,3.6313,5900.0,1.61
3.7,5.7,1070.0,5.1134,4950.0,0.86
5.0,28.0,850.0,11.759,4950.0,0.86
12.106,93.12419,795.0,4.86069,6040.0,1.19
12.11,85.81,1330.0,4.86069,6040.0,1.19
14.123,184.3414,795.0,4.20474,5590.0,1.79
14.12,165.26,1600.0,4.20474,5590.0,1.79
11.287,3273.649,795.0,3.57532,5900.0,1.08
11.287,3302.11,1500.0,3.57532,5900.0,1.08
10.705,153.82972,795.0,5.20851,5150.0,1.78
10.705,152.87623,795.0,5.20851,5150.0,1.78
2.28,232.01474,795.0,2.8505615,5268.0,1.08
10.088,266.9772,795.0,2.85057,5260.0,0.9
10.088,270.1555,795.0,2.85057,5260.0,0.9
11.135,6747.5309,795.0,4.2567994,5614.0,1.54
2.28,232.01474,795.0,10.50682565,6558.0,1.44
11.624,6979.5468,1695.0,4.2567994,6740.0,1.57
11.32,6883.91,795.0,4.2568,6740.0,1.56
11.321,6814.2752,795.0,4.2567994,6740.0,1.56
11.31,921.707,795.0,9.06005,5650.0,0.91
16.365,266.9772,795.0,4.62941,5700.0,2.15
18.831,349.61125,1747.0,3.22748,6390.0,1.65
15.805,216.12332,1567.0,5.616531,6730.0,1.52
13.34,228.83,1074.0,9.20205,6190.0,1.17
13.437,232.01474,964.0,9.20164964,6190.0,1.12
13.339,223.43449,795.0,9.20205,6190.0,1.17
13.002,232.33373,1058.0,9.20205,6190.0,1.15
15.558,151.92274,795.0,4.0378962,6100.0,1.19
15.558,148.42,1438.0,4.0378962,6100.0,1.19
13.249,149.3801,1348.0,4.0378962,6100.0,1.05
2.28,232.01474,795.0,4.0379156,5614.0,0.95
14.079,145.88397,1397.0,4.0379156,5614.0,1.11
18.383,232.01474,1351.0,4.03790124,6100.0,1.27
13.283,940.7768,1025.0,8.886593,6090.0,1.04
13.07,937.5985,795.0,8.886593,6090.0,1.02
13.068,940.74,1017.0,8.886593,6090.0,1.02
2.28,232.01474,795.0,8.8866287,5614.0,0.95
1.681,4.07661,795.0,0.85359163,5275.0,0.83
